label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
upm,0.03448,0.07461,0.07464,5148,5,0,0.07583,33,33,0.06500,0.07000,0.09000,0.10200,0.13600,0.13600,0.13600,33
uu,0.03402,0.07862,0.07874,9048,5,0,0.08964,58,58,0.06300,0.06700,0.09300,0.13600,0.38100,0.38100,0.38100,58
r/XX,0.03120,0.06840,0.06840,800,5,0,0.06855,5,5,0.06300,0.06700,0.07900,0.07900,0.07900,0.07900,0.07900,5
,0.03357,0.07423,0.07431,35983,5,0,0.07974,140,140,0.06200,0.06800,0.08600,0.09600,0.13600,0.38100,0.38100,140
u,0.03167,0.06733,0.06733,1253,5,0,0.06731,3,3,0.06400,0.06800,0.07000,0.07000,0.07000,0.07000,0.07000,3
ur,0.03100,0.06350,0.06350,312,5,0,0.06345,2,2,0.06200,0.06200,0.06500,0.06500,0.06500,0.06500,0.06500,2
pd,0.03350,0.07000,0.07000,2634,5,0,0.07003,4,4,0.06600,0.06700,0.07500,0.07500,0.07500,0.07500,0.07500,4
wpm,0.03425,0.07300,0.07312,1494,5,0,0.07390,8,8,0.06500,0.06800,0.09800,0.09800,0.09800,0.09800,0.09800,8
pma/7,0.03325,0.07475,0.07500,3076,5,0,0.07571,4,4,0.06600,0.06700,0.09300,0.09300,0.09300,0.09300,0.09300,4
pma/4,0.03475,0.06800,0.06800,3076,5,0,0.06824,4,4,0.06200,0.06500,0.07900,0.07900,0.07900,0.07900,0.07900,4
pma/23,0.03067,0.06600,0.06600,1688,5,0,0.06594,3,3,0.06500,0.06600,0.06700,0.06700,0.06700,0.06700,0.06700,3
cc,0.03075,0.06400,0.06400,624,5,0,0.06395,4,4,0.06300,0.06300,0.06600,0.06600,0.06600,0.06600,0.06600,4
mas/CN,0.03200,0.06975,0.07025,4332,5,0,0.07021,4,4,0.06900,0.06900,0.07400,0.07400,0.07400,0.07400,0.07400,4
id,0.03100,0.06500,0.06500,492,5,0,0.06496,3,3,0.06300,0.06500,0.06700,0.06700,0.06700,0.06700,0.06700,3
cu,0.03300,0.06900,0.06900,468,5,0,0.06894,3,3,0.06800,0.06900,0.07000,0.07000,0.07000,0.07000,0.07000,3
pma/1,0.03050,0.06450,0.06450,1538,5,0,0.06444,2,2,0.06400,0.06400,0.06500,0.06500,0.06500,0.06500,0.06500,2
