timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549221122182,1189,r/XX,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-4,text,false,,2807,0,5,5,http://34.245.45.194:8000/r/XX,0,0,1189
1549221122182,1189,wpm,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-5,text,false,,2807,0,5,5,http://34.245.45.194:8000/wpm?code=CN,0,0,1189
1549221122182,1189,uu,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-2,text,false,,2807,0,5,5,http://34.245.45.194:8000/uu,0,0,1189
1549221122182,1189,upm,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-1,text,false,,2807,0,5,5,http://34.245.45.194:8000/upm,0,0,1189
1549221123377,1126,upm,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-5,text,false,,2807,0,5,5,http://34.245.45.194:8000/upm,0,0,1126
1549221123377,1127,id,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-4,text,false,,2807,0,5,5,http://34.245.45.194:8000/id,0,0,1127
1549221123376,1128,mas/CN,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-2,text,false,,2807,0,5,5,http://34.245.45.194:8000/mas/CN,0,0,1128
1549221124506,1094,pma/1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-2,text,false,,2807,0,5,5,http://34.245.45.194:8000/pma/1,0,0,1094
1549221124505,1097,pma/7,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-5,text,false,,2807,0,5,5,http://34.245.45.194:8000/pma/7,0,0,1097
1549221134098,1101,uu,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-5,text,false,,2807,0,5,5,http://34.245.45.194:8000/uu,0,0,1101
1549221135201,1094,uu,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-5,text,false,,2807,0,5,5,http://34.245.45.194:8000/uu,0,0,1094
1549221137907,1101,wpm,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-4,text,false,,2807,0,5,5,http://34.245.45.194:8000/wpm?code=CN,0,0,1101
1549221139374,1089,mas/CN,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 34.245.45.194:8000 [/34.245.45.194] failed: Connection refused: connect,ipokemon 1-1,text,false,,2807,0,5,5,http://34.245.45.194:8000/mas/CN,0,0,1089
