label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/1,0.04375,0.08600,0.08600,3076,5,0,0.09034,4,4,0.06400,0.06600,0.13300,0.13300,0.13300,0.13300,0.13300,4
mas/CN,0.04175,0.08350,0.08400,8064,5,0,0.08856,4,4,0.06600,0.06800,0.13300,0.13300,0.13300,0.13300,0.13300,4
uu,0.03468,0.07415,0.07431,9204,5,0,0.07538,59,59,0.06500,0.06900,0.09400,0.10700,0.13600,0.13600,0.13600,59
upm,0.03388,0.07406,0.07406,4992,5,0,0.07466,32,32,0.06700,0.07100,0.08400,0.08800,0.12100,0.12100,0.12100,32
cc,0.03640,0.07200,0.07200,780,5,0,0.07209,5,5,0.06500,0.07400,0.07800,0.07800,0.07800,0.07800,0.07800,5
,0.03475,0.07530,0.07545,45487,5,0,0.07707,151,151,0.06400,0.07000,0.08800,0.10800,0.13600,0.17600,0.17600,151
pma/4,0.03300,0.06833,0.06833,2307,5,0,0.06829,3,3,0.06700,0.06700,0.07100,0.07100,0.07100,0.07100,0.07100,3
cu,0.03200,0.06700,0.06750,624,5,0,0.06745,4,4,0.06600,0.06700,0.07000,0.07000,0.07000,0.07000,0.07000,4
wpm,0.03360,0.07250,0.07270,1920,5,0,0.07366,10,10,0.06500,0.07000,0.07200,0.10900,0.10900,0.10900,0.10900,10
u,0.03475,0.10000,0.10050,1664,5,0,0.10988,4,4,0.06600,0.06900,0.17600,0.17600,0.17600,0.17600,0.17600,4
id,0.03425,0.07375,0.07375,656,5,0,0.07422,4,4,0.06600,0.06900,0.08900,0.08900,0.08900,0.08900,0.08900,4
pma/7,0.03371,0.07243,0.07257,5383,5,0,0.07261,7,7,0.06800,0.07300,0.08100,0.08100,0.08100,0.08100,0.08100,7
pma/23,0.03875,0.07750,0.07750,3076,5,0,0.07780,4,4,0.06700,0.07500,0.08800,0.08800,0.08800,0.08800,0.08800,4
ur,0.03333,0.07433,0.07433,468,5,0,0.07480,3,3,0.06700,0.06900,0.08700,0.08700,0.08700,0.08700,0.08700,3
pd,0.03250,0.09375,0.09425,2633,5,0,0.09815,4,4,0.06700,0.06900,0.13300,0.13300,0.13300,0.13300,0.13300,4
r/XX,0.03325,0.07000,0.07050,640,5,0,0.07068,4,4,0.06500,0.06600,0.08000,0.08000,0.08000,0.08000,0.08000,4
