label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
ur,0.05633,0.07433,0.07433,468,5,0,0.10686,3,3,0.01900,0.02100,0.18300,0.18300,0.18300,0.18300,0.18300,3
wpm,0.06150,0.07917,0.07950,1152,5,0,0.10063,6,6,0.01800,0.03000,0.18400,0.18400,0.18400,0.18400,0.18400,6
uu,0.28600,0.30345,0.30364,9048,5,0,1.32574,58,58,0.01600,0.02200,0.13000,3.06800,9.09600,9.09600,9.09600,58
u,0.07475,0.11050,0.11050,1697,5,0,0.12198,4,4,0.05600,0.09300,0.19600,0.19600,0.19600,0.19600,0.19600,4
,0.19626,0.21475,0.21493,47293,5,0,1.12536,146,146,0.01400,0.02700,0.13000,0.18300,9.08000,9.09600,9.09600,146
mas/CN,0.04540,0.06240,0.06340,10080,5,0,0.08102,5,5,0.01900,0.03700,0.15900,0.15900,0.15900,0.15900,0.15900,5
id,0.03000,0.04900,0.04925,656,5,0,0.06261,4,4,0.01800,0.02100,0.11400,0.11400,0.11400,0.11400,0.11400,4
upm,0.02394,0.04597,0.04597,4992,5,0,0.05825,32,32,0.01900,0.02800,0.10700,0.13000,0.14500,0.14500,0.14500,32
pma/1,0.01940,0.03220,0.03240,3845,5,0,0.03792,5,5,0.01500,0.01900,0.06600,0.06600,0.06600,0.06600,0.06600,5
r/XX,0.05700,0.07150,0.07175,640,5,0,0.08921,4,4,0.01700,0.02100,0.13300,0.13300,0.13300,0.13300,0.13300,4
pma/7,1.54750,1.56417,1.56467,4614,5,0,3.70858,6,6,0.01600,0.03000,9.08000,9.08000,9.08000,9.08000,9.08000,6
cc,0.03225,0.04350,0.04350,624,5,0,0.06027,4,4,0.01400,0.01500,0.11500,0.11500,0.11500,0.11500,0.11500,4
pma/4,0.01700,0.03040,0.03060,3845,5,0,0.03438,5,5,0.01800,0.02100,0.06000,0.06000,0.06000,0.06000,0.06000,5
pma/23,0.04300,0.05620,0.05620,3845,5,0,0.07426,5,5,0.01600,0.01800,0.12700,0.12700,0.12700,0.12700,0.12700,5
cu,0.01067,0.02533,0.02533,468,5,0,0.02735,3,3,0.01800,0.01800,0.04000,0.04000,0.04000,0.04000,0.04000,3
pd,0.02250,0.05950,0.06050,1319,5,0,0.07389,2,2,0.01800,0.01800,0.10300,0.10300,0.10300,0.10300,0.10300,2
