timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1552830932002,124,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-238,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,83
1552830932016,116,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-155,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,71
1552830932019,121,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Unrecognized Windows Sockets error: 0: recv failed,ipokemon 1-163,text,false,,2630,0,250,250,http://192.168.0.39:8000/upm,0,0,69
1552830932017,123,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Unrecognized Windows Sockets error: 0: recv failed,ipokemon 1-156,text,false,,2630,0,250,250,http://192.168.0.39:8000/upm,0,0,72
1552830932022,131,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-173,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,68
1552830932023,134,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-181,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,69
1552830932022,134,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-178,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,68
1552830932019,138,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-157,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,71
1552830932025,136,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-196,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,67
1552830932028,136,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-206,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,65
1552830931990,178,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-219,text,false,,2466,0,250,250,http://192.168.0.39:8000/upm,0,0,112
1552830932005,217,uu,200,OK,ipokemon 1-48,text,true,,156,740,250,250,http://192.168.0.39:8000/uu,217,0,72
1552830932004,228,uu,200,OK,ipokemon 1-243,text,true,,156,740,250,250,http://192.168.0.39:8000/uu,227,0,78
1552830932004,254,upm,200,OK,ipokemon 1-57,text,true,,156,2016,250,250,http://192.168.0.39:8000/upm,254,0,80
1552830931992,279,uu,200,OK,ipokemon 1-225,text,true,,156,725,250,250,http://192.168.0.39:8000/uu,279,0,91
1552830932004,292,uu,200,OK,ipokemon 1-226,text,true,,156,713,250,250,http://192.168.0.39:8000/uu,292,0,80
1552830932006,301,uu,200,OK,ipokemon 1-230,text,true,,156,625,250,250,http://192.168.0.39:8000/uu,300,0,78
1552830932004,314,uu,200,OK,ipokemon 1-228,text,true,,156,903,250,250,http://192.168.0.39:8000/uu,314,0,80
1552830932222,110,uu,200,OK,ipokemon 1-48,text,true,,156,885,250,250,http://192.168.0.39:8000/uu,110,0,5
1552830932232,114,uu,200,OK,ipokemon 1-243,text,true,,156,645,250,250,http://192.168.0.39:8000/uu,114,0,5
1552830932250,110,uu,200,OK,ipokemon 1-7,text,true,,156,919,250,250,http://192.168.0.39:8000/uu,110,0,8
1552830932271,103,uu,200,OK,ipokemon 1-225,text,true,,156,740,250,250,http://192.168.0.39:8000/uu,102,0,8
1552830932307,84,ur,200,OK,ipokemon 1-230,text,true,,156,640,250,250,http://192.168.0.39:8000/ur,84,0,4
