label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_500
upm,0.03978,0.08547,0.08547,4992,5,0,0.08718,32,32,0.07600,0.08100,0.08800,0.10200,0.17900,0.17900,0.17900,32,
uu,0.04062,0.08505,0.08534,9048,5,0,0.08744,58,58,0.07400,0.08000,0.09100,0.12200,0.18000,0.18000,0.18000,58,
cu,0.03850,0.08275,0.08325,624,5,0,0.08341,4,4,0.07800,0.07900,0.09400,0.09400,0.09400,0.09400,0.09400,4,
,0.03961,0.08436,0.08465,52969,5,6,0.08609,140,146,0.07400,0.08100,0.09400,0.10600,0.18000,0.18000,0.18000,140,6
pd,0.03550,0.10050,0.10050,2635,5,0,0.10311,4,4,0.07700,0.07700,0.12400,0.12400,0.12400,0.12400,0.12400,4,
id,0.04020,0.08100,0.08140,820,5,0,0.08169,5,5,0.07500,0.07700,0.09600,0.09600,0.09600,0.09600,0.09600,5,
wpm,0.04067,0.08350,0.08417,10398,5,6,0.08447,0,6,0.07800,0.08100,0.10200,0.10200,0.10200,0.10200,0.10200,,6
r/XX,0.03740,0.08140,0.08200,800,5,0,0.08209,5,5,0.07700,0.07900,0.09200,0.09200,0.09200,0.09200,0.09200,5,
pma/23,0.04100,0.08350,0.08350,1538,5,0,0.08354,2,2,0.07900,0.07900,0.08800,0.08800,0.08800,0.08800,0.08800,2,
pma/1,0.04000,0.08080,0.08080,3845,5,0,0.08076,5,5,0.07700,0.08100,0.08400,0.08400,0.08400,0.08400,0.08400,5,
pma/7,0.03750,0.07917,0.07950,4614,5,0,0.07948,6,6,0.07500,0.08000,0.08300,0.08300,0.08300,0.08300,0.08300,6,
pma/4,0.03775,0.07875,0.07925,3076,5,0,0.07934,4,4,0.07500,0.07700,0.08800,0.08800,0.08800,0.08800,0.08800,4,
ur,0.03800,0.08060,0.08060,780,5,0,0.08056,5,5,0.07700,0.08000,0.08400,0.08400,0.08400,0.08400,0.08400,5,
mas/CN,0.03900,0.08400,0.08650,8064,5,0,0.08668,4,4,0.07700,0.08500,0.09600,0.09600,0.09600,0.09600,0.09600,4,
u,0.03667,0.07800,0.07800,1267,5,0,0.07793,3,3,0.07600,0.07900,0.07900,0.07900,0.07900,0.07900,0.07900,3,
cc,0.03733,0.08967,0.08967,468,5,0,0.09124,3,3,0.07500,0.08000,0.11400,0.11400,0.11400,0.11400,0.11400,3,
