label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_HttpHostConnectException
uu,1.14110,0.00000,1.14140,28050,1,10,1.14111,0,10,1.09700,1.11800,1.18200,1.23300,1.23300,1.23300,1.23300,10
,1.14087,0.00000,1.14100,67320,1,24,1.14055,0,24,1.09600,1.14000,1.19800,1.20300,1.23300,1.23300,1.23300,24
cu,1.11000,0.00000,1.11000,2805,1,1,1.10889,0,1,1.11000,1.11000,1.11000,1.11000,1.11000,1.11000,1.11000,1
wpm,1.15450,0.00000,1.15450,5610,1,2,1.15436,0,2,1.10600,1.10600,1.20300,1.20300,1.20300,1.20300,1.20300,2
upm,1.14720,0.00000,1.14720,14025,1,5,1.14631,0,5,1.10900,1.15100,1.18400,1.18400,1.18400,1.18400,1.18400,5
id,1.09600,0.00000,1.09600,2805,1,1,1.09490,0,1,1.09600,1.09600,1.09600,1.09600,1.09600,1.09600,1.09600,1
pma/23,1.11000,0.00000,1.11000,2805,1,1,1.10889,0,1,1.11000,1.11000,1.11000,1.11000,1.11000,1.11000,1.11000,1
pma/7,1.09700,0.00000,1.09700,2805,1,1,1.09590,0,1,1.09700,1.09700,1.09700,1.09700,1.09700,1.09700,1.09700,1
pma/1,1.14200,0.00000,1.14200,2805,1,1,1.14086,0,1,1.14200,1.14200,1.14200,1.14200,1.14200,1.14200,1.14200,1
pd,1.17200,0.00000,1.17200,2805,1,1,1.17083,0,1,1.17200,1.17200,1.17200,1.17200,1.17200,1.17200,1.17200,1
mas/CN,1.19800,0.00000,1.19800,2805,1,1,1.19680,0,1,1.19800,1.19800,1.19800,1.19800,1.19800,1.19800,1.19800,1
