label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/23,0.02500,0.04900,0.05000,1538,2,0,0.05586,2,2,0.02500,0.02500,0.07500,0.07500,0.07500,0.07500,0.07500,2
,0.00730,0.03030,0.03048,18295,2,0,0.03175,63,63,0.01600,0.02800,0.04100,0.04400,0.07500,0.07500,0.07500,63
uu,0.00635,0.03081,0.03092,4056,2,0,0.03182,26,26,0.02500,0.02800,0.04400,0.04500,0.05900,0.05900,0.05900,26
upm,0.00758,0.03658,0.03658,1872,2,0,0.03672,12,12,0.02900,0.03600,0.04100,0.04200,0.04200,0.04200,0.04200,12
id,0.00650,0.02250,0.02250,328,2,0,0.02248,2,2,0.02200,0.02200,0.02300,0.02300,0.02300,0.02300,0.02300,2
wpm,0.00700,0.02600,0.02625,768,2,0,0.02629,4,4,0.02400,0.02500,0.02900,0.02900,0.02900,0.02900,0.02900,4
cc,0.00400,0.01600,0.01600,156,2,0,0.01598,1,1,0.01600,0.01600,0.01600,0.01600,0.01600,0.01600,0.01600,1
cu,0.00500,0.02750,0.02750,312,2,0,0.02751,2,2,0.02600,0.02600,0.02900,0.02900,0.02900,0.02900,0.02900,2
u,0.00750,0.02750,0.02750,845,2,0,0.02748,2,2,0.02700,0.02700,0.02800,0.02800,0.02800,0.02800,0.02800,2
mas/CN,0.00500,0.02200,0.02300,2016,2,0,0.02298,1,1,0.02300,0.02300,0.02300,0.02300,0.02300,0.02300,0.02300,1
pd,0.00650,0.03050,0.03100,1318,2,0,0.03099,2,2,0.03000,0.03000,0.03200,0.03200,0.03200,0.03200,0.03200,2
r/XX,0.00700,0.02200,0.02200,160,2,0,0.02198,1,1,0.02200,0.02200,0.02200,0.02200,0.02200,0.02200,0.02200,1
ur,0.00800,0.02650,0.02650,312,2,0,0.02648,2,2,0.02600,0.02600,0.02700,0.02700,0.02700,0.02700,0.02700,2
pma/7,0.00667,0.02233,0.02267,2307,2,0,0.02271,3,3,0.02100,0.02200,0.02500,0.02500,0.02500,0.02500,0.02500,3
pma/1,0.00500,0.02000,0.02000,769,2,0,0.01998,1,1,0.02000,0.02000,0.02000,0.02000,0.02000,0.02000,0.02000,1
pma/4,0.00900,0.02550,0.02650,1538,2,0,0.02659,2,2,0.02400,0.02400,0.02900,0.02900,0.02900,0.02900,0.02900,2
