label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_SocketException
upm,0.00788,0.03991,0.04058,54993,50,3,0.04820,305,308,0.02100,0.03600,0.05300,0.06800,0.18200,0.32200,0.32200,305,3
cc,0.01018,0.02941,0.02951,6084,50,0,0.04162,39,39,0.01400,0.02000,0.08700,0.11900,0.13300,0.13300,0.13300,39,
cu,0.00788,0.03482,0.03494,5148,50,0,0.03838,33,33,0.02200,0.03000,0.05800,0.07800,0.09600,0.09600,0.09600,33,
pd,0.00870,0.03879,0.03900,21740,50,0,0.04267,33,33,0.02300,0.03300,0.06100,0.06500,0.11800,0.11800,0.11800,33,
uu,0.00874,0.04114,0.04129,88764,50,0,0.07540,569,569,0.01800,0.03000,0.04900,0.06600,0.39700,0.99700,0.99700,569,
mas/CN,0.00734,0.03117,0.03276,58464,50,0,0.04206,29,29,0.02000,0.02400,0.07500,0.10200,0.14000,0.14000,0.14000,29,
id,0.00791,0.03274,0.03288,5576,50,0,0.05845,34,34,0.01600,0.02200,0.03600,0.05800,0.30600,0.30600,0.30600,34,
wpm,0.00666,0.02921,0.02929,13056,50,0,0.03098,68,68,0.01800,0.02600,0.04200,0.05100,0.08200,0.08200,0.08200,68,
ur,0.00829,0.03651,0.03651,5460,50,0,0.07225,35,35,0.01700,0.02400,0.03100,0.05800,0.39800,0.39800,0.39800,35,
pma/23,0.00777,0.03817,0.03829,26915,50,0,0.06779,35,35,0.01600,0.02400,0.05200,0.07200,0.35600,0.35600,0.35600,35,
pma/7,0.00735,0.02843,0.02874,52292,50,0,0.03477,68,68,0.01600,0.02400,0.04000,0.04500,0.14900,0.14900,0.14900,68,
u,0.00755,0.06355,0.06365,13034,50,0,0.18029,31,31,0.02000,0.02700,0.05600,0.11200,0.98300,0.98300,0.98300,31,
,0.00807,0.03780,0.03810,408040,50,3,0.06520,1381,1384,0.01400,0.03000,0.04900,0.06500,0.30600,0.98300,0.99700,1381,3
pma/1,0.00571,0.02412,0.02424,26146,50,0,0.02493,34,34,0.01600,0.02200,0.03200,0.04000,0.04600,0.04600,0.04600,34,
r/XX,0.00614,0.02653,0.02672,5760,50,0,0.03744,36,36,0.01500,0.02100,0.03500,0.03700,0.17900,0.17900,0.17900,36,
pma/4,0.00572,0.02331,0.02356,24608,50,0,0.02401,32,32,0.01800,0.02300,0.02600,0.03000,0.04500,0.04500,0.04500,32,
