label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_HttpHostConnectException,rc_SocketException
id,0.00657,0.04351,0.04362,28864,250,0,0.12460,176,176,0.01300,0.02400,0.04900,0.07500,1.09100,1.09300,1.09300,176,,
u,0.06517,0.09316,0.09325,65186,250,0,0.42772,155,155,0.01600,0.02600,0.05500,0.09200,3.03200,3.09800,3.09800,155,,
mas/CN,0.23570,0.26722,0.26877,318528,250,0,1.21189,158,158,0.01500,0.02500,0.07100,3.01600,9.04000,9.37600,9.37600,158,,
pma/7,0.19784,0.22618,0.22626,245311,250,0,1.23682,319,319,0.01400,0.02300,0.05300,0.12700,9.08000,9.68800,9.68800,319,,
upm,0.13672,0.13019,0.18300,277009,250,17,1.32910,1500,1517,0.01600,0.03300,0.06200,0.09400,3.25800,21.37600,21.39200,1500,3,14
pma/4,0.04150,0.07521,0.07536,133037,250,0,0.34177,173,173,0.01400,0.02500,0.05400,0.08800,3.02400,3.05800,3.05800,173,,
uu,0.15760,0.17341,0.21016,432345,250,7,1.41896,2652,2659,0.01500,0.02800,0.05700,0.08100,9.40000,21.16800,21.32800,2652,4,3
pd,0.23261,0.26784,0.26792,107396,250,0,1.37043,163,163,0.01900,0.03000,0.06400,0.08200,9.67200,9.68800,9.68800,163,,
wpm,0.16036,0.12639,0.18996,66165,250,1,1.39483,330,331,0.01500,0.02600,0.05700,0.08600,3.09400,20.99200,20.99200,330,1,
ur,0.07327,0.11861,0.11861,24180,250,0,0.78646,155,155,0.01500,0.02400,0.06100,0.15400,1.39300,9.52000,9.52000,155,,
pma/1,0.11446,0.14978,0.14988,127654,250,0,0.82496,166,166,0.01400,0.02400,0.06000,0.08000,3.35600,9.04000,9.04000,166,,
cu,0.08115,0.13625,0.13636,26208,250,0,0.85282,168,168,0.01600,0.02900,0.05500,0.07800,3.43800,10.17600,10.17600,168,,
r/XX,0.16562,0.18650,0.18658,27200,250,0,1.06746,170,170,0.01400,0.02200,0.04600,0.07700,9.08800,9.12000,9.12000,170,,
cc,0.12369,0.14590,0.14602,24492,250,0,0.87961,157,157,0.01100,0.02000,0.05100,0.06600,3.06400,9.65600,9.65600,157,,
pma/23,0.02598,0.04954,0.04962,119964,250,0,0.24943,156,156,0.01400,0.02400,0.04700,0.07600,0.21900,3.08000,3.08000,156,,
,0.14070,0.15432,0.18441,2023539,250,25,1.25377,6598,6623,0.01100,0.02800,0.05800,0.08300,3.52800,20.99200,21.39200,6598,8,17
