label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
u,0.01275,0.04700,0.04700,1705,5,0,0.04864,4,4,0.03600,0.03800,0.06800,0.06800,0.06800,0.06800,0.06800,4
pma/7,0.01714,0.04371,0.04386,5383,5,0,0.05064,7,7,0.02000,0.02400,0.07700,0.07700,0.07700,0.07700,0.07700,7
uu,0.00809,0.03346,0.03365,8892,5,0,0.03742,57,57,0.01900,0.02900,0.05300,0.06200,0.11100,0.11100,0.11100,57
pma/1,0.00675,0.03375,0.03375,3076,5,0,0.03533,4,4,0.02700,0.02800,0.05200,0.05200,0.05200,0.05200,0.05200,4
,0.00788,0.03354,0.03371,41177,5,0,0.03744,136,136,0.01400,0.03000,0.05200,0.06800,0.11100,0.11900,0.11900,136
upm,0.00572,0.03372,0.03372,4524,5,0,0.03427,29,29,0.02200,0.03300,0.04200,0.04400,0.04500,0.04500,0.04500,29
pma/23,0.00733,0.02400,0.02400,2307,5,0,0.02407,3,3,0.02100,0.02500,0.02600,0.02600,0.02600,0.02600,0.02600,3
mas/CN,0.00433,0.02000,0.02200,6048,5,0,0.02208,3,3,0.02000,0.02100,0.02500,0.02500,0.02500,0.02500,0.02500,3
id,0.00775,0.04800,0.04800,656,5,0,0.06318,4,4,0.02100,0.02200,0.11900,0.11900,0.11900,0.11900,0.11900,4
cc,0.00625,0.01675,0.01700,624,5,0,0.01711,4,4,0.01400,0.01700,0.02000,0.02000,0.02000,0.02000,0.02000,4
r/XX,0.00850,0.02450,0.02500,320,5,0,0.02505,2,2,0.02300,0.02300,0.02700,0.02700,0.02700,0.02700,0.02700,2
pd,0.00750,0.04850,0.04875,2634,5,0,0.05261,4,4,0.03200,0.03500,0.08200,0.08200,0.08200,0.08200,0.08200,4
wpm,0.00817,0.03017,0.03050,1152,5,0,0.03058,6,6,0.02700,0.03000,0.03500,0.03500,0.03500,0.03500,0.03500,6
cu,0.00650,0.03050,0.03050,312,5,0,0.03047,2,2,0.03000,0.03000,0.03100,0.03100,0.03100,0.03100,0.03100,2
ur,0.00733,0.02567,0.02567,468,5,0,0.02567,3,3,0.02400,0.02600,0.02700,0.02700,0.02700,0.02700,0.02700,3
pma/4,0.00600,0.02375,0.02375,3076,5,0,0.02374,4,4,0.02300,0.02300,0.02500,0.02500,0.02500,0.02500,0.02500,4
